slug	name	category	url
drifter-duffle-75l	Drifter Duffle 75L	pack	https://www.sitkagear.com/products/drifter-duffle-75l
drifter-hip-pack-1l	Drifter Hip Pack 1L	pack	https://www.sitkagear.com/products/drifter-hip-pack-1l
drifter-roller-140l	Drifter Roller 140L	pack	https://www.sitkagear.com/products/drifter-roller-140l
drifter-tote-40l	Drifter Tote 40L	pack	https://www.sitkagear.com/products/drifter-tote-40l
drifter-travel-pack	Drifter Travel Pack	pack	https://www.sitkagear.com/products/drifter-travel-pack
dry-creek-fleece-jacket	Dry Creek Fleece Jacket	jacket	https://www.sitkagear.com/products/dry-creek-fleece-jacket
duck-oven-jacket	Duck Oven Jacket	jacket	https://www.sitkagear.com/products/duck-oven-jacket
duck-oven-jacket-discontinued	Duck Oven Jacket (Discontinued)	jacket	https://www.sitkagear.com/products/duck-oven-jacket-discontinued
duck-oven-lt-hoodie	Duck Oven LT Hoodie	hoody	https://www.sitkagear.com/products/duck-oven-lt-hoodie
durango-performance-hoodie	Durango Performance Hoodie	hoody	https://www.sitkagear.com/products/durango-performance-hoodie
endure-pant	Endure Pant	pant	https://www.sitkagear.com/products/endure-pant
equinox-guard-glove	Equinox Guard Glove	glove	https://www.sitkagear.com/products/equinox-guard-glove
equinox-guard-hoodie	Equinox Guard Hoodie	hoody	https://www.sitkagear.com/products/equinox-guard-hoodie
equinox-guard-pant	Equinox Guard Pant	pant	https://www.sitkagear.com/products/equinox-guard-pant
equinox-turkey-vest	Equinox Turkey Vest	vest	https://www.sitkagear.com/products/equinox-turkey-vest
essential-ss-polo	Essential SS Polo	shirt	https://www.sitkagear.com/products/essential-ss-polo
everyday-pant	Everyday Pant	pant	https://www.sitkagear.com/products/everyday-pant
everyday-ripstop-pant	Everyday Ripstop Pant	pant	https://www.sitkagear.com/products/everyday-ripstop-pant
fanatic-bib	Fanatic Bib	bib	https://www.sitkagear.com/products/fanatic-bib
fanatic-glove	Fanatic Glove	glove	https://www.sitkagear.com/products/fanatic-glove
fanatic-hoodie	Fanatic Hoodie	hoody	https://www.sitkagear.com/products/fanatic-hoodie
fanatic-jacket	Fanatic Jacket	jacket	https://www.sitkagear.com/products/fanatic-jacket
fanatic-jacket-lefty	Fanatic Jacket (Lefty)	jacket	https://www.sitkagear.com/products/fanatic-jacket-lefty
fanatic-pack	Fanatic Pack	pack	https://www.sitkagear.com/products/fanatic-pack
fanatic-vest	Fanatic Vest	vest	https://www.sitkagear.com/products/fanatic-vest
fanatic-ws-beanie	Fanatic WS Beanie	hat	https://www.sitkagear.com/products/fanatic-ws-beanie
finders-keepers-unstructured-snapback	Finders Keepers Unstructured Snapback	hat	https://www.sitkagear.com/products/finders-keepers-unstructured-snapback
flash-optics-harness	Flash Optics Harness	accessory	https://www.sitkagear.com/products/flash-optics-harness
foh-edition-mid-pro-trucker	FOH Edition Mid Pro Trucker	hat	https://www.sitkagear.com/products/foh-edition-mid-pro-trucker
foh-edition-pullover-hoodie	FOH Edition Pullover Hoodie	hoody	https://www.sitkagear.com/products/foh-edition-pullover-hoodie
foh-edition-tee	FOH Edition Tee	shirt	https://www.sitkagear.com/products/foh-edition-tee
foothills-long-sleeve-crew	Foothills Long Sleeve Crew	shirt	https://www.sitkagear.com/products/foothills-long-sleeve-crew
foothills-long-sleeve-henley	Foothills Long Sleeve Henley	shirt	https://www.sitkagear.com/products/foothills-long-sleeve-henley
frontier-shirt-jacket	Frontier Shirt Jacket	jacket	https://www.sitkagear.com/products/frontier-shirt-jacket
full-choke-pack	Full Choke Pack	pack	https://www.sitkagear.com/products/full-choke-pack
gifted-retriever-tee	Gifted Retriever Tee	shirt	https://www.sitkagear.com/products/gifted-retriever-tee
gradient-cold-weather-bib	Gradient Cold Weather Bib	bib	https://www.sitkagear.com/products/gradient-cold-weather-bib
gradient-pant	Gradient Pant	pant	https://www.sitkagear.com/products/gradient-pant
grange-flannel	Grange Flannel	shirt	https://www.sitkagear.com/products/grange-flannel
grinder-pant	Grinder Pant	pant	https://www.sitkagear.com/products/grinder-pant
grindstone-work-jacket	Grindstone Work Jacket	jacket	https://www.sitkagear.com/products/grindstone-work-jacket
grindstone-work-jacket-2024	Grindstone Work Jacket (2024)	jacket	https://www.sitkagear.com/products/grindstone-work-jacket-2024
grindstone-work-pant	Grindstone Work Pant	pant	https://www.sitkagear.com/products/grindstone-work-pant
grindstone-work-vest	Grindstone Work Vest	vest	https://www.sitkagear.com/products/grindstone-work-vest
guard-lt-pant	Guard LT Pant	pant	https://www.sitkagear.com/products/guard-lt-pant
guard-pro-pant	Guard Pro Pant	pant	https://www.sitkagear.com/products/guard-pro-pant
guard-sun-hoodie	Guard Sun Hoodie	hoody	https://www.sitkagear.com/products/guard-sun-hoodie
guard-sun-ls-shirt	Guard Sun LS Shirt	shirt	https://www.sitkagear.com/products/guard-sun-ls-shirt
gunner-glove	Gunner Glove	glove	https://www.sitkagear.com/products/gunner-glove
hardwood-heavyweight-flannel-shirt	Hardwood Heavyweight Flannel Shirt	shirt	https://www.sitkagear.com/products/hardwood-heavyweight-flannel-shirt
harvester-lite-chore-coat	Harvester Lite Chore Coat	jacket	https://www.sitkagear.com/products/harvester-lite-chore-coat
heavy-weight-crew-sock	Heavy Weight Crew Sock	accessory	https://www.sitkagear.com/products/heavy-weight-crew-sock
heavy-weight-otc-sock	Heavy Weight OTC Sock	accessory	https://www.sitkagear.com/products/heavy-weight-otc-sock
heavyweight-bottom	Heavyweight Bottom	baselayer-bottom	https://www.sitkagear.com/products/heavyweight-bottom
heavyweight-hoodie	Heavyweight Hoodie	midlayer	https://www.sitkagear.com/products/heavyweight-hoodie
heavyweight-zip-t	Heavyweight Zip-T	midlayer	https://www.sitkagear.com/products/heavyweight-zip-t
heritage-patch-vintage-trucker	Heritage Patch Vintage Trucker	hat	https://www.sitkagear.com/products/heritage-patch-vintage-trucker
hidden-optifade-mesh-mid-pro-trucker	Hidden Optifade Mesh Mid Pro Trucker	hat	https://www.sitkagear.com/products/hidden-optifade-mesh-mid-pro-trucker
hidden-optifade-pullover-hoodie	Hidden Optifade Pullover Hoodie	hoody	https://www.sitkagear.com/products/hidden-optifade-pullover-hoodie
hidden-optifade-tee	Hidden Optifade Tee	shirt	https://www.sitkagear.com/products/hidden-optifade-tee
high-water-pocket-tee	High Water Pocket Tee	shirt	https://www.sitkagear.com/products/high-water-pocket-tee
hooked-mid-pro-trucker	Hooked Mid Pro Trucker	hat	https://www.sitkagear.com/products/hooked-mid-pro-trucker
hooked-pullover-hoodie	Hooked Pullover Hoodie	hoody	https://www.sitkagear.com/products/hooked-pullover-hoodie
hooked-tee	Hooked Tee	shirt	https://www.sitkagear.com/products/hooked-tee
hudson-bib	Hudson Bib	bib	https://www.sitkagear.com/products/hudson-bib
hudson-jacket	Hudson Jacket	jacket	https://www.sitkagear.com/products/hudson-jacket
hyperdown-15-sleeping-bag	Hyperdown 15 Sleeping Bag	accessory	https://www.sitkagear.com/products/hyperdown-15-sleeping-bag
hyperdown-jacket	Hyperdown Jacket	jacket	https://www.sitkagear.com/products/hyperdown-jacket
hyperdown-pant	Hyperdown Pant	pant	https://www.sitkagear.com/products/hyperdown-pant
icon-aquafade-pullover-hoodie	Icon Aquafade Pullover Hoodie	hoody	https://www.sitkagear.com/products/icon-aquafade-pullover-hoodie
icon-aquafade-tech-tee	Icon Aquafade Tech Tee	shirt	https://www.sitkagear.com/products/icon-aquafade-tech-tee
icon-aquafade-tee	Icon Aquafade Tee	shirt	https://www.sitkagear.com/products/icon-aquafade-tee
icon-classic-full-zip-hoodie	Icon Classic Full-Zip Hoodie	hoody	https://www.sitkagear.com/products/icon-classic-full-zip-hoodie
icon-classic-pullover-hoodie	Icon Classic Pullover Hoodie	hoody	https://www.sitkagear.com/products/icon-classic-pullover-hoodie
icon-eco-mid-pro-trucker	Icon Eco Mid Pro Trucker	hat	https://www.sitkagear.com/products/icon-eco-mid-pro-trucker
icon-lo-pro-trucker	Icon Lo Pro Trucker	hat	https://www.sitkagear.com/products/icon-lo-pro-trucker
icon-long-sleeve-crewneck-tee	Icon Long Sleeve Crewneck Tee	shirt	https://www.sitkagear.com/products/icon-long-sleeve-crewneck-tee
icon-mesh-mid-pro-trucker	Icon Mesh Mid Pro Trucker	hat	https://www.sitkagear.com/products/icon-mesh-mid-pro-trucker
icon-mid-pro-trucker	Icon Mid Pro Trucker	hat	https://www.sitkagear.com/products/icon-mid-pro-trucker
icon-optifade-long-sleeve-tee	Icon Optifade Long Sleeve Tee	shirt	https://www.sitkagear.com/products/icon-optifade-long-sleeve-tee
icon-optifade-mesh-mid-pro-trucker	Icon Optifade Mesh Mid Pro Trucker	hat	https://www.sitkagear.com/products/icon-optifade-mesh-mid-pro-trucker
icon-optifade-plus-mid-pro-trucker	Icon Optifade Plus Mid Pro Trucker	hat	https://www.sitkagear.com/products/icon-optifade-plus-mid-pro-trucker
icon-optifade-pullover-hoodie	Icon Optifade Pullover Hoodie	hoody	https://www.sitkagear.com/products/icon-optifade-pullover-hoodie
